arrival_date,departure_date,location,transportation_modes,genre,hotel
05-24-2011,02-Jun-2011,"Chennai ; India","car - bicycle - taxi - motorcycle",Fem,Grant-Hand
08-15-1998,22-Aug-1998,"Dhaka ; Bangladesh","subway ; caravan ; boat ; motorcycle ; car ; tram",fem,Quigley-Braun
11-07-2000,12-Nov-2000,"Abidjan | Ivory Coast","ferry | tram | airplane | subway | taxi",masc,"Cole Group"
01-23-2014,30-Jan-2014,"Mumbai - India","airplane | caravan | tram | bus | car | horse | boat | walk",M,"Murray LLC"
07-26-2018,01-Aug-2018,"Mexico City | Mexico","bus ; horse ; boat ; train ; caravan ; airplane ; bicycle ; motorcycle",fem,"Feil LLC"
12-22-1976,28-Dec-1976,"Bangkok ; Thailand","walk ; boat ; bus ; taxi",Masc,"Altenwerth and Sons"
07-11-1988,19-Jul-1988,"Casablanca ; Morocco","motorcycle | caravan | walk | bus | subway",Fem,Cruickshank-Franecki
01-04-1989,09-Jan-1989,"Yangon | Myanmar","car | boat | ferry | tram | taxi | walk",Fem,Feest-Bode
12-15-1976,23-Dec-1976,"Rio de Janeiro ; Brazil","horse | boat | bicycle | subway | car | airplane | walk",Masc,"Sporer Group"
01-18-1986,25-Jan-1986,"Delhi | India","taxi - airplane - tram - car - subway",Masc,Feest-Bode
12-11-2013,16-Dec-2013,"Mumbai - India","walk | motorcycle | subway | car",masc,Rogahn-Crist
01-01-1988,05-Jan-1988,"Johannesburg - South Africa","ferry | walk | train | airplane",Masc,Wolff-Cartwright
06-15-1993,24-Jun-1993,"Lahore - Pakistan","subway - walk - airplane - motorcycle",Masc,"Heaney - Robel and Witting"
01-01-2013,05-Jan-2013,"Abidjan - Ivory Coast","train - subway - ferry - horse - bicycle - caravan",Female,Wolff-Cartwright
12-15-2007,19-Dec-2007,"Delhi | India","train ; car ; airplane ; walk",fem,"Rempel and Sons"
12-27-2006,06-Jan-2007,"Lagos - Nigeria","walk ; airplane ; tram ; train ; motorcycle",Fem,Quigley-Braun
11-19-1981,29-Nov-1981,"Lagos - Nigeria","airplane - horse - ferry - bus - bicycle - subway - tram - walk",Male,"Murray LLC"
01-08-1970,15-Jan-1970,"Beijing ; China","bicycle ; walk ; ferry ; tram ; subway",Male,Kerluke-Armstrong
11-13-1993,22-Nov-1993,"Delhi | India","bicycle ; subway ; tram ; ferry ; motorcycle ; horse ; taxi ; airplane",Masc,"Rempel and Sons"
01-19-1974,24-Jan-1974,"Beijing | China","boat | ferry | taxi | train",Male,Rogahn-Crist
04-28-1982,05-May-1982,"Alexandria - Egypt","motorcycle - bus - ferry - airplane - subway",Fem,"Hintz Group"
11-27-1998,02-Dec-1998,"Yangon | Myanmar","caravan ; ferry ; tram ; subway ; train",fem,Kerluke-Armstrong
11-10-1994,14-Nov-1994,"Rio de Janeiro ; Brazil","car ; walk ; caravan ; bicycle ; subway ; motorcycle ; ferry",Fem,"Feil LLC"
11-06-2012,11-Nov-2012,"Durban | South Africa","car ; horse ; bicycle ; boat ; taxi ; subway",fem,"Dare, Hoppe and Moore"
04-21-2003,25-Apr-2003,"Durban ; South Africa","caravan - horse - tram - bicycle - ferry",Masc,Grant-Hand
03-13-2018,19-Mar-2018,"Durban - South Africa","airplane ; train ; walk ; ferry",Masc,Rogahn-Crist
11-14-1995,18-Nov-1995,"Durban | South Africa","tram | bicycle | motorcycle | horse | taxi | train | bus | boat",Masc,"Ledner LLC"
10-03-1988,07-Oct-1988,"Yangon ; Myanmar","bus | bicycle | train | caravan",Fem,"Koelpin, Hoppe and Corwin"
09-06-1993,11-Sep-1993,"Yangon ; Myanmar","bicycle ; taxi ; horse ; airplane",Fem,"Hintz Group"
01-24-1989,28-Jan-1989,"Beijing | China","train ; horse ; motorcycle ; airplane",fem,"Cremin Inc"
07-22-1976,26-Jul-1976,"Mexico City | Mexico","car ; tram ; train ; boat",masc,"Cole Group"
08-20-1986,25-Aug-1986,"Lagos ; Nigeria","airplane ; car ; bicycle ; train",Female,"Sporer Group"
02-10-1974,15-Feb-1974,"Bangkok ; Thailand","tram ; horse ; bus ; bicycle ; walk ; airplane ; motorcycle ; car",F,Blick-Bartell
03-09-2010,15-Mar-2010,"Yangon - Myanmar","tram - bus - horse - car",Fem,Champlin-Kemmer
01-08-1984,13-Jan-1984,"Dhaka ; Bangladesh","boat - tram - train - ferry",Masc,"Feil LLC"
11-19-1986,24-Nov-1986,"Mexico City - Mexico","bicycle ; airplane ; subway ; car ; boat ; ferry",Masc,"Ledner LLC"
08-26-1976,04-Sep-1976,"Yangon | Myanmar","walk - motorcycle - bus - subway - boat",fem,"Botsford Inc"
05-23-1986,30-May-1986,"Lagos | Nigeria","walk - airplane - train - car - motorcycle - boat - bus",Masc,"Schinner, Sauer and Powlowski"
06-06-2010,14-Jun-2010,"Lagos ; Nigeria","taxi ; bus ; car ; airplane ; horse",Female,"Heaney - Robel and Witting"
06-07-2008,16-Jun-2008,"Yangon - Myanmar","bus ; subway ; motorcycle ; walk",fem,Cruickshank-Franecki
09-03-2017,10-Sep-2017,"Casablanca ; Morocco","bus - boat - subway - bicycle",fem,"Kulas LLC"
07-30-1989,06-Aug-1989,"Chennai | India","motorcycle ; ferry ; walk ; tram ; bicycle ; subway",masc,"Cole Group"
10-12-1992,20-Oct-1992,"Ankara | Turkey","bus ; horse ; subway ; motorcycle",Female,"Sporer Group"
07-29-1990,05-Aug-1990,"London | United Kingdom","tram - bus - subway - caravan",masc,"Kulas LLC"
01-12-1987,17-Jan-1987,"Bangkok | Thailand","taxi - tram - motorcycle - bicycle - train",Fem,"Koelpin, Hoppe and Corwin"
10-16-1990,23-Oct-1990,"Johannesburg - South Africa","train | horse | tram | walk | subway",Masc,"Lubowitz, Prohaska and Reilly"
10-14-2008,24-Oct-2008,"Abidjan ; Ivory Coast","car ; motorcycle ; boat ; horse ; walk ; train",masc,"Hodkiewicz, Luettgen and Stoltenberg"
04-14-2010,24-Apr-2010,"Delhi | India","walk - motorcycle - boat - airplane",Masc,"Heaney Inc"
06-14-1998,24-Jun-1998,"Pune ; India","horse - airplane - car - subway - walk",Masc,Cruickshank-Franecki
05-22-2003,01-Jun-2003,"Beijing ; China","caravan - ferry - airplane - motorcycle - taxi - bus",masc,"Sporer Group"
02-03-1995,13-Feb-1995,"London - United Kingdom","caravan ; motorcycle ; taxi ; train ; bicycle ; subway ; airplane",Male,Blick-Bartell
01-16-1987,23-Jan-1987,"Casablanca | Morocco","caravan - bicycle - car - taxi - ferry - train",fem,"Cole Group"
08-12-1988,16-Aug-1988,"Mumbai | India","bus ; caravan ; taxi ; car",Male,"Altenwerth and Sons"
12-30-2016,04-Jan-2017,"Pune | India","boat - walk - caravan - subway - train - car",F,"Rempel and Sons"
10-30-1987,08-Nov-1987,"Johannesburg | South Africa","airplane - walk - caravan - taxi - boat - horse",Masc,Cruickshank-Franecki
06-25-2002,29-Jun-2002,"Mexico City ; Mexico","airplane - bicycle - walk - motorcycle - horse",Female,"Lubowitz, Prohaska and Reilly"
08-22-2017,01-Sep-2017,"Delhi ; India","car - tram - train - horse - taxi",M,Langosh-Franecki
07-23-1998,27-Jul-1998,"Yangon | Myanmar","bus | caravan | subway | walk | airplane | boat | motorcycle",Female,"Goldner LLC"
04-16-1979,20-Apr-1979,"Lagos - Nigeria","taxi ; boat ; bus ; horse ; tram ; train ; ferry",M,"Heaney Inc"
02-06-2017,13-Feb-2017,"Beijing | China","boat ; tram ; caravan ; horse ; bus ; subway ; bicycle",M,"Schaden LLC"
03-22-2021,30-Mar-2021,"Bangkok | Thailand","walk ; tram ; car ; subway",fem,"Fritsch, Hegmann and Mueller"
04-27-2003,06-May-2003,"Bangkok | Thailand","train | airplane | horse | boat | motorcycle | ferry | walk",Fem,"Hintz Group"
07-12-2013,18-Jul-2013,"Rio de Janeiro ; Brazil","horse | car | motorcycle | bicycle | airplane",Male,"Rempel and Sons"
03-08-2011,12-Mar-2011,"London - United Kingdom","subway - bus - tram - taxi - airplane - bicycle",Masc,Langosh-Franecki
09-21-2004,29-Sep-2004,"Beijing | China","bus | boat | car | horse",fem,Cruickshank-Franecki
04-08-2009,16-Apr-2009,"Casablanca | Morocco","horse | bicycle | tram | subway | motorcycle | taxi",fem,"Sporer Group"
04-07-2010,11-Apr-2010,"Beijing ; China","caravan | walk | bus | taxi | motorcycle | train | airplane",Masc,"Hodkiewicz, Luettgen and Stoltenberg"
07-28-1979,03-Aug-1979,"Abidjan - Ivory Coast","ferry - airplane - subway - train - bus - boat - tram",Female,"Heaney - Robel and Witting"
11-14-1992,21-Nov-1992,"Chennai | India","horse ; taxi ; ferry ; car ; subway ; caravan ; motorcycle",fem,"Hintz Group"
12-16-1972,24-Dec-1972,"Mumbai - India","motorcycle ; caravan ; car ; tram",Fem,"Leannon, Cassin and Trantow"
12-24-1981,28-Dec-1981,"Yangon - Myanmar","train | taxi | subway | caravan",masc,Kerluke-Armstrong
07-02-1982,07-Jul-1982,"London ; United Kingdom","tram - caravan - car - taxi - bus - walk - subway",M,Rogahn-Crist
05-26-1989,01-Jun-1989,"Lagos | Nigeria","boat - airplane - bicycle - car - caravan - ferry",Masc,Feest-Bode
07-26-1990,04-Aug-1990,"Bangkok ; Thailand","taxi - boat - caravan - airplane - subway - car - motorcycle",fem,"Rempel and Sons"
03-29-2001,07-Apr-2001,"Ankara | Turkey","bus | airplane | tram | caravan | walk | bicycle | taxi | motorcycle",M,Champlin-Kemmer
01-23-1990,31-Jan-1990,"Casablanca ; Morocco","subway ; walk ; airplane ; ferry",F,Wolff-Cartwright
08-15-2004,22-Aug-2004,"Delhi | India","airplane | motorcycle | caravan | walk",F,"Lubowitz, Prohaska and Reilly"
11-18-1988,26-Nov-1988,"Dhaka | Bangladesh","train - taxi - bicycle - boat",Male,"Hintz Group"
02-28-2014,07-Mar-2014,"Lagos ; Nigeria","caravan | ferry | boat | subway | bus | car",masc,"Nienow LLC"
05-19-1980,24-May-1980,"Pune | India","airplane | bicycle | ferry | subway | walk | caravan | taxi | tram",Fem,"Fritsch, Hegmann and Mueller"
07-22-1993,30-Jul-1993,"Rio de Janeiro ; Brazil","tram ; horse ; subway ; airplane ; ferry ; boat ; motorcycle ; caravan",Female,"Lubowitz, Prohaska and Reilly"
01-05-2019,09-Jan-2019,"Bangkok | Thailand","car - airplane - boat - tram - bus - horse - walk - caravan",F,"Hodkiewicz, Luettgen and Stoltenberg"
05-03-1993,12-May-1993,"Hanoi ; Vietnam","ferry ; airplane ; bicycle ; motorcycle ; train ; subway ; taxi",Masc,"Hintz Group"
06-06-2009,12-Jun-2009,"Rio de Janeiro - Brazil","car - horse - subway - ferry - train - bicycle - motorcycle",fem,"Nienow LLC"
12-25-1976,29-Dec-1976,"Delhi - India","train ; walk ; taxi ; bicycle ; bus ; subway ; motorcycle ; caravan",Masc,White-Stroman
02-11-1985,15-Feb-1985,"Yangon - Myanmar","car - boat - horse - motorcycle - caravan - ferry - train",Masc,White-Stroman
04-09-2016,15-Apr-2016,"Mumbai ; India","train ; ferry ; bus ; tram ; boat",M,Grant-Hand
07-10-2021,16-Jul-2021,"Casablanca - Morocco","taxi ; horse ; boat ; airplane ; subway ; walk ; bicycle",Female,"Koelpin, Hoppe and Corwin"
07-25-2010,02-Aug-2010,"Dhaka - Bangladesh","subway - train - ferry - taxi - bicycle - walk",Fem,Champlin-Kemmer
09-11-2008,18-Sep-2008,"London ; United Kingdom","caravan - bicycle - walk - airplane - bus - tram - car",F,"Koelpin, Hoppe and Corwin"
08-24-2020,28-Aug-2020,"Ankara ; Turkey","bus ; motorcycle ; tram ; walk ; car ; taxi",F,Blick-Bartell
02-11-1995,20-Feb-1995,"Ankara ; Turkey","walk - airplane - horse - car - bus - ferry",masc,"Medhurst, Streich and Schamberger"
02-02-1973,09-Feb-1973,"Ankara ; Turkey","tram | walk | boat | car | horse | bus | motorcycle",M,"Altenwerth and Sons"
01-13-1984,20-Jan-1984,"Rio de Janeiro - Brazil","horse - bus - ferry - train",M,"Hintz Group"
03-09-2008,19-Mar-2008,"Rio de Janeiro ; Brazil","subway ; bicycle ; walk ; tram",Male,"Funk, Morar and Rodriguez"
09-16-1982,26-Sep-1982,"Rio de Janeiro - Brazil","subway ; motorcycle ; bus ; ferry",masc,"Funk, Morar and Rodriguez"
08-13-1994,22-Aug-1994,"London ; United Kingdom","boat - walk - bus - ferry",Fem,"Medhurst, Streich and Schamberger"
04-03-1986,12-Apr-1986,"Bangkok ; Thailand","subway | taxi | walk | motorcycle | horse | bicycle",Masc,"Cole Group"
07-25-1979,31-Jul-1979,"Casablanca | Morocco","bicycle | bus | ferry | train | walk | subway",F,Schmeler-Renner
03-29-2020,03-Apr-2020,"Chennai | India","train | taxi | ferry | airplane | motorcycle | bus | tram",Masc,"Altenwerth and Sons"
03-16-1986,25-Mar-1986,"Pune - India","caravan - train - tram - car",M,"Schinner, Sauer and Powlowski"
01-24-1977,31-Jan-1977,"Yangon ; Myanmar","subway ; motorcycle ; tram ; horse ; boat ; caravan",F,"Murray LLC"
06-17-2000,26-Jun-2000,"Delhi ; India","boat - subway - motorcycle - car - caravan - ferry - train",M,Langosh-Franecki
06-11-2007,15-Jun-2007,"Lagos ; Nigeria","walk - horse - motorcycle - taxi",masc,Champlin-Kemmer
01-27-1993,01-Feb-1993,"Abidjan - Ivory Coast","motorcycle - train - ferry - bus - car - subway - caravan",masc,Wolff-Cartwright
01-25-1981,01-Feb-1981,"Pune ; India","bicycle - subway - airplane - horse - car",Masc,Feest-Bode
02-07-2009,17-Feb-2009,"Bangkok | Thailand","airplane | caravan | boat | bicycle | tram",Masc,"Funk, Morar and Rodriguez"
03-16-1998,21-Mar-1998,"Delhi - India","caravan ; walk ; bus ; horse ; tram ; boat ; subway",M,"Medhurst, Streich and Schamberger"
11-13-1975,17-Nov-1975,"Mumbai ; India","car | tram | bicycle | motorcycle | subway | boat | taxi",masc,Cruickshank-Franecki
01-05-1982,09-Jan-1982,"Lagos | Nigeria","horse | walk | ferry | caravan",F,Feest-Bode
05-15-1976,19-May-1976,"London ; United Kingdom","walk | taxi | subway | ferry",Fem,"Heaney - Robel and Witting"
12-27-1981,04-Jan-1982,"Addis Ababa - Ethiopia","taxi ; bicycle ; boat ; tram ; walk ; subway",M,"Kulas LLC"
11-30-2011,06-Dec-2011,"Ankara - Turkey","taxi - car - train - horse",fem,Kerluke-Armstrong
07-30-2013,09-Aug-2013,"Yangon | Myanmar","car ; horse ; ferry ; walk ; tram ; taxi ; caravan ; bicycle",Fem,"Dare, Hoppe and Moore"
09-21-1976,27-Sep-1976,"Chennai | India","walk | bicycle | taxi | train | bus | horse",masc,"Nienow LLC"
11-17-1982,23-Nov-1982,"Lahore - Pakistan","caravan ; bus ; bicycle ; subway ; motorcycle ; ferry ; taxi",Male,Feest-Bode
12-29-1972,04-Jan-1973,"Chennai - India","car ; taxi ; bus ; boat ; airplane ; horse ; motorcycle ; tram",Female,"Kulas LLC"
07-25-1984,04-Aug-1984,"Beijing | China","motorcycle | tram | subway | car | caravan | walk",Female,"Leannon, Cassin and Trantow"
02-05-1976,13-Feb-1976,"Lahore - Pakistan","bicycle | bus | ferry | horse",fem,Langosh-Franecki
09-30-1995,07-Oct-1995,"Chennai - India","boat ; subway ; taxi ; ferry ; motorcycle ; train",fem,"Lubowitz, Prohaska and Reilly"
02-06-2011,10-Feb-2011,"Yangon - Myanmar","airplane - boat - car - ferry - taxi",F,"Ledner LLC"
06-14-2021,23-Jun-2021,"Mexico City ; Mexico","taxi ; car ; subway ; ferry ; horse ; walk ; motorcycle",Fem,Grant-Hand
12-28-1988,06-Jan-1989,"Beijing | China","airplane | car | taxi | walk | train",F,Quigley-Braun
04-12-2019,19-Apr-2019,"Rio de Janeiro - Brazil","bicycle | airplane | caravan | boat | taxi | ferry | tram | motorcycle",Masc,"Lubowitz, Prohaska and Reilly"
05-17-1985,21-May-1985,"Durban ; South Africa","taxi - ferry - walk - boat - motorcycle",M,"Hintz Group"
12-23-2001,29-Dec-2001,"Alexandria | Egypt","walk - horse - subway - ferry - car - taxi - boat - airplane",Male,"Koelpin, Hoppe and Corwin"
10-13-1986,20-Oct-1986,"Casablanca ; Morocco","motorcycle ; boat ; airplane ; tram ; bicycle ; car ; bus",Fem,Rogahn-Crist
03-24-2002,02-Apr-2002,"Rio de Janeiro ; Brazil","taxi - car - caravan - walk - horse",Masc,"Hintz Group"
03-10-1998,16-Mar-1998,"Pune - India","train - walk - horse - boat - airplane - car - taxi",Male,"Hodkiewicz, Luettgen and Stoltenberg"
11-24-1990,29-Nov-1990,"Lagos | Nigeria","airplane | caravan | ferry | train | taxi | walk | motorcycle",fem,Blick-Bartell
07-12-2018,18-Jul-2018,"Pune - India","boat | car | ferry | taxi | motorcycle | walk",masc,"Heaney - Robel and Witting"
12-01-1983,11-Dec-1983,"Abidjan ; Ivory Coast","subway | airplane | tram | ferry | walk | taxi",F,Langosh-Franecki
03-29-2014,05-Apr-2014,"Rio de Janeiro | Brazil","subway ; ferry ; train ; motorcycle",fem,"Hodkiewicz, Luettgen and Stoltenberg"
04-19-2008,27-Apr-2008,"Mumbai ; India","walk ; motorcycle ; ferry ; tram ; bicycle",Fem,"Kassulke, Rath and Upton"
01-05-1981,09-Jan-1981,"Mexico City ; Mexico","airplane ; ferry ; boat ; walk",Masc,"Leannon, Cassin and Trantow"
07-01-2001,11-Jul-2001,"Lagos | Nigeria","airplane | taxi | bicycle | ferry | car | caravan",Masc,"Kulas LLC"
12-29-1971,08-Jan-1972,"London ; United Kingdom","tram - horse - walk - subway",Fem,"Heaney - Robel and Witting"
11-20-1983,25-Nov-1983,"Chennai ; India","bus ; tram ; car ; walk ; train ; bicycle ; boat",F,"Hintz Group"
05-31-2001,09-Jun-2001,"Rio de Janeiro - Brazil","tram ; horse ; train ; motorcycle ; taxi",M,Wolff-Cartwright
08-18-2021,24-Aug-2021,"Casablanca ; Morocco","motorcycle | airplane | car | bicycle | horse | subway | walk | taxi",Fem,"Lubowitz, Prohaska and Reilly"
09-18-2013,25-Sep-2013,"Addis Ababa | Ethiopia","airplane ; train ; ferry ; bicycle ; horse ; bus",fem,"Koelpin, Hoppe and Corwin"
09-12-1995,19-Sep-1995,"Alexandria - Egypt","tram - bus - walk - subway - horse - caravan - train - boat",Masc,"Feil LLC"
01-15-2016,24-Jan-2016,"Yangon | Myanmar","bus - airplane - caravan - boat - motorcycle - taxi - bicycle",masc,Wolff-Cartwright
05-13-2012,23-May-2012,"Delhi ; India","ferry - taxi - walk - subway - airplane",M,Feest-Bode
01-18-1985,28-Jan-1985,"Durban | South Africa","subway - car - train - airplane - motorcycle - caravan",Female,"Medhurst, Streich and Schamberger"
03-18-2010,26-Mar-2010,"Dhaka - Bangladesh","boat - subway - bus - motorcycle - walk - taxi - bicycle - caravan",F,"Bahringer LLC"
09-29-1981,07-Oct-1981,"Casablanca | Morocco","car ; ferry ; bus ; subway ; walk",fem,"Feil LLC"
02-24-2002,04-Mar-2002,"Hanoi ; Vietnam","bicycle ; bus ; subway ; taxi ; boat ; walk ; caravan",F,"Koelpin, Hoppe and Corwin"
03-21-1999,29-Mar-1999,"Lagos - Nigeria","taxi - motorcycle - walk - horse - airplane - train - boat - bicycle",F,"Schinner, Sauer and Powlowski"
02-15-1988,19-Feb-1988,"Casablanca ; Morocco","motorcycle ; bicycle ; car ; caravan ; taxi ; walk ; bus ; boat",Female,"Goldner LLC"
02-05-1973,13-Feb-1973,"Beijing - China","caravan | train | car | bicycle | walk | bus | horse",M,Champlin-Kemmer
09-08-2005,14-Sep-2005,"Dhaka ; Bangladesh","train | boat | walk | ferry",masc,"Heaney Inc"
10-24-1998,03-Nov-1998,"Casablanca ; Morocco","bus | train | motorcycle | bicycle | ferry | subway | tram",Male,"Dare, Hoppe and Moore"
04-26-1990,30-Apr-1990,"Ankara - Turkey","airplane ; tram ; car ; boat ; motorcycle",fem,Cruickshank-Franecki
07-24-1978,31-Jul-1978,"Beijing ; China","bicycle - tram - taxi - horse",masc,"Bahringer LLC"
03-30-1996,05-Apr-1996,"Delhi ; India","motorcycle - horse - car - bicycle",masc,"Botsford Inc"
05-23-1970,01-Jun-1970,"Bangkok | Thailand","train ; subway ; car ; horse ; bus",fem,"Sporer Group"
02-28-2011,08-Mar-2011,"Rio de Janeiro | Brazil","taxi ; bicycle ; motorcycle ; walk ; ferry ; train",Fem,Wolff-Cartwright
11-13-2016,19-Nov-2016,"Mexico City - Mexico","car | subway | train | boat | airplane | tram | bicycle",M,"Hayes, Bins and Considine"
07-26-1979,31-Jul-1979,"Yangon - Myanmar","walk ; taxi ; bus ; motorcycle ; horse ; boat",M,"Dare, Hoppe and Moore"
07-10-2018,20-Jul-2018,"Mexico City | Mexico","horse | walk | ferry | train | car",Female,"Fritsch, Hegmann and Mueller"
05-30-2018,05-Jun-2018,"Delhi | India","walk | taxi | bus | airplane | car | motorcycle",Masc,"Feil LLC"
06-03-1988,10-Jun-1988,"Mexico City ; Mexico","bicycle | walk | train | bus | boat | taxi | car | horse",masc,Quigley-Braun
03-21-1994,29-Mar-1994,"Ankara | Turkey","bus ; train ; motorcycle ; caravan ; car ; bicycle ; horse ; ferry",Female,Rogahn-Crist
06-29-1973,03-Jul-1973,"Durban - South Africa","bus - walk - motorcycle - caravan - subway - bicycle",Masc,Rogahn-Crist
07-27-2013,31-Jul-2013,"Lagos ; Nigeria","taxi ; subway ; tram ; train ; walk ; boat",masc,"Kulas LLC"
12-20-1980,28-Dec-1980,"Rio de Janeiro ; Brazil","car | airplane | subway | motorcycle | caravan | taxi",F,"Schaden LLC"
11-15-1975,21-Nov-1975,"Hanoi ; Vietnam","boat - airplane - subway - tram - walk - taxi - motorcycle",Male,"Funk, Morar and Rodriguez"
03-20-1999,27-Mar-1999,"Lahore | Pakistan","walk - caravan - taxi - train - bicycle - bus - car",F,"Feil LLC"
10-03-2020,10-Oct-2020,"Lagos | Nigeria","walk | taxi | horse | caravan",M,Feest-Bode
12-04-2017,10-Dec-2017,"Johannesburg | South Africa","car ; subway ; horse ; caravan ; walk ; boat ; airplane ; tram",M,"Heaney Inc"
05-28-1990,01-Jun-1990,"Hanoi - Vietnam","airplane ; car ; ferry ; boat ; taxi ; walk",fem,Blick-Bartell
03-14-2004,19-Mar-2004,"Casablanca - Morocco","motorcycle - walk - boat - caravan - car - airplane - horse",Masc,"Leannon, Cassin and Trantow"
12-30-2001,07-Jan-2002,"Beijing ; China","boat ; airplane ; horse ; bicycle ; motorcycle ; ferry ; caravan ; car",fem,"Leannon, Cassin and Trantow"
02-01-1989,08-Feb-1989,"Dhaka - Bangladesh","taxi ; bus ; train ; bicycle",F,"Botsford Inc"
01-16-2002,22-Jan-2002,"Alexandria - Egypt","caravan | train | horse | bicycle | subway",Female,"Koelpin, Hoppe and Corwin"
08-05-2019,15-Aug-2019,"Johannesburg - South Africa","train - bicycle - tram - motorcycle",M,"Hintz Group"
07-01-1998,11-Jul-1998,"Johannesburg - South Africa","motorcycle | bicycle | ferry | tram | boat",Male,Grant-Hand
11-02-2021,11-Nov-2021,"Mexico City | Mexico","airplane | subway | taxi | caravan | car",fem,"Rempel and Sons"
05-10-2019,17-May-2019,"Pune - India","bicycle - subway - bus - train - airplane - taxi - car",F,"Schinner, Sauer and Powlowski"
10-20-1975,24-Oct-1975,"Abidjan | Ivory Coast","caravan | motorcycle | subway | airplane | train | horse | walk | boat",Masc,Blick-Bartell
08-28-1996,05-Sep-1996,"Addis Ababa ; Ethiopia","caravan | walk | ferry | horse",M,"Lubowitz, Prohaska and Reilly"
02-21-2010,28-Feb-2010,"Hanoi ; Vietnam","train | motorcycle | walk | boat | taxi | caravan",Female,Wolff-Cartwright
06-12-1992,20-Jun-1992,"Addis Ababa ; Ethiopia","tram | horse | ferry | motorcycle | train",M,"Funk, Morar and Rodriguez"
09-14-1985,23-Sep-1985,"Durban | South Africa","horse - walk - caravan - train",Male,"Bahringer LLC"
03-20-1977,29-Mar-1977,"Mumbai | India","boat | taxi | horse | airplane | ferry",M,"Cole Group"
11-10-1980,14-Nov-1980,"Pune | India","motorcycle | caravan | train | taxi | boat | bus",Female,Rogahn-Crist
03-20-1984,29-Mar-1984,"Pune ; India","ferry | car | walk | taxi | motorcycle | horse | subway",fem,"Schinner, Sauer and Powlowski"
11-15-1990,20-Nov-1990,"Delhi - India","taxi - caravan - ferry - walk - bicycle",masc,"Dare, Hoppe and Moore"
12-01-2013,05-Dec-2013,"Delhi - India","motorcycle - car - walk - subway - taxi",F,"Fritsch, Hegmann and Mueller"
03-19-1977,27-Mar-1977,"Ankara | Turkey","train | bicycle | boat | ferry | airplane | walk | tram",F,"Sporer Group"
12-21-1990,27-Dec-1990,"Hanoi - Vietnam","airplane | bus | boat | horse",Male,Kerluke-Armstrong
10-18-2006,23-Oct-2006,"Mexico City - Mexico","boat ; caravan ; bus ; airplane ; walk",F,Schmeler-Renner
05-04-1970,11-May-1970,"Johannesburg | South Africa","taxi | motorcycle | airplane | train | car",fem,"Altenwerth and Sons"
02-21-1974,26-Feb-1974,"Casablanca ; Morocco","car | caravan | train | tram | ferry | airplane",fem,"Sporer Group"
09-11-1997,16-Sep-1997,"Addis Ababa - Ethiopia","bus ; car ; airplane ; caravan",M,"Schaden LLC"
05-05-1993,12-May-1993,"Ankara | Turkey","car ; airplane ; bus ; tram",Female,Champlin-Kemmer
