arrival_date,departure_date,location,transportation_modes,genre,hotel
06-08-1985,15-Jun-1985,"Mumbai ; India","train ; subway ; bus ; bicycle ; tram ; car ; taxi",Fem,"Botsford Inc"
02-15-2009,24-Feb-2009,"London | United Kingdom","caravan - bus - ferry - bicycle - motorcycle",F,"Schaden LLC"
11-10-2013,20-Nov-2013,"Beijing ; China","horse | caravan | bicycle | ferry | train | car",M,"Murray LLC"
08-16-1998,24-Aug-1998,"Dhaka | Bangladesh","motorcycle ; tram ; horse ; airplane ; bicycle ; ferry ; train ; car",M,"Heaney - Robel and Witting"
09-30-1989,06-Oct-1989,"Mexico City ; Mexico","bicycle ; boat ; taxi ; bus ; tram ; car ; train ; motorcycle",masc,"Nienow LLC"
03-23-1997,31-Mar-1997,"Hanoi | Vietnam","ferry | taxi | subway | car | train | tram | horse | airplane",Masc,"Botsford Inc"
09-13-2003,22-Sep-2003,"Casablanca ; Morocco","ferry | caravan | subway | bicycle | train | taxi",Male,White-Stroman
03-17-2018,21-Mar-2018,"London ; United Kingdom","subway - caravan - car - taxi - motorcycle - horse",Fem,Langosh-Franecki
10-28-2008,07-Nov-2008,"Rio de Janeiro ; Brazil","train ; walk ; car ; bicycle ; tram ; caravan",M,"Bahringer LLC"
11-28-1973,03-Dec-1973,"Yangon - Myanmar","horse - motorcycle - boat - bus",Masc,"Koelpin, Hoppe and Corwin"
07-14-2018,18-Jul-2018,"Lahore - Pakistan","motorcycle ; ferry ; train ; bus ; car ; taxi ; subway",Male,"Murray LLC"
06-26-1974,30-Jun-1974,"Dhaka - Bangladesh","ferry - train - car - boat - tram - bus - motorcycle",M,"Fritsch, Hegmann and Mueller"
10-09-1981,16-Oct-1981,"Addis Ababa | Ethiopia","car - bicycle - train - ferry",masc,Langosh-Franecki
07-08-1997,15-Jul-1997,"Yangon | Myanmar","subway | boat | motorcycle | airplane",Male,"Funk, Morar and Rodriguez"
12-10-1990,14-Dec-1990,"Delhi ; India","car | horse | walk | bicycle",Female,"Bahringer LLC"
02-28-2005,06-Mar-2005,"Hanoi | Vietnam","walk | ferry | bicycle | caravan | bus | boat | taxi | train",F,"Dare, Hoppe and Moore"
02-25-2019,03-Mar-2019,"Lagos | Nigeria","caravan ; train ; ferry ; motorcycle ; airplane ; bicycle ; taxi ; boat",masc,"Sporer Group"
03-21-2019,26-Mar-2019,"Casablanca - Morocco","car - boat - bicycle - caravan - train",Fem,"Murray LLC"
07-24-2020,03-Aug-2020,"Chennai - India","tram ; taxi ; motorcycle ; bus",fem,"Lubowitz, Prohaska and Reilly"
06-03-1972,11-Jun-1972,"Lagos | Nigeria","boat | bicycle | subway | airplane | taxi | caravan",M,"Medhurst, Streich and Schamberger"
12-10-2010,14-Dec-2010,"Yangon | Myanmar","taxi | walk | horse | ferry | train | motorcycle | boat | tram",Masc,"Fritsch, Hegmann and Mueller"
02-24-1997,04-Mar-1997,"Rio de Janeiro | Brazil","train ; boat ; subway ; horse ; car ; ferry ; bicycle",masc,Kerluke-Armstrong
08-20-1995,25-Aug-1995,"Chennai | India","tram - bicycle - train - subway - horse - motorcycle - airplane - bus",masc,"Cremin Inc"
03-12-2006,22-Mar-2006,"Lahore ; Pakistan","subway | ferry | airplane | train | bicycle | taxi | walk",Male,White-Stroman
01-30-1974,05-Feb-1974,"Abidjan - Ivory Coast","ferry | airplane | train | boat | caravan | walk | car",fem,"Dare, Hoppe and Moore"
03-22-1979,26-Mar-1979,"Lagos ; Nigeria","bus | caravan | car | airplane | ferry | subway",Masc,"Altenwerth and Sons"
01-20-2019,26-Jan-2019,"Beijing | China","motorcycle | boat | subway | ferry | tram",Male,"Leannon, Cassin and Trantow"
07-12-2000,19-Jul-2000,"Durban ; South Africa","boat - train - bus - motorcycle - walk - taxi - tram",Fem,Quigley-Braun
06-04-2010,10-Jun-2010,"London | United Kingdom","tram ; bus ; boat ; taxi ; ferry ; motorcycle ; subway",masc,"Altenwerth and Sons"
06-03-1974,09-Jun-1974,"Johannesburg | South Africa","car - airplane - taxi - subway",Female,"Ledner LLC"
05-11-1981,16-May-1981,"Ankara - Turkey","train ; subway ; motorcycle ; taxi ; bus ; walk",Masc,"Sporer Group"
04-01-2019,07-Apr-2019,"Johannesburg | South Africa","motorcycle ; bicycle ; caravan ; bus ; car ; train ; horse",Female,"Cole Group"
05-04-1993,11-May-1993,"Johannesburg | South Africa","caravan ; bicycle ; boat ; taxi ; airplane",masc,"Funk, Morar and Rodriguez"
12-21-1993,27-Dec-1993,"Lagos ; Nigeria","car | horse | caravan | motorcycle | ferry | tram | taxi",Fem,Blick-Bartell
05-07-2021,16-May-2021,"Dhaka - Bangladesh","bus ; ferry ; taxi ; tram ; motorcycle ; horse",fem,"Hayes, Bins and Considine"
05-27-2015,03-Jun-2015,"London - United Kingdom","taxi | bicycle | car | caravan",Female,Grant-Hand
04-18-1997,25-Apr-1997,"Mexico City ; Mexico","caravan - bicycle - tram - motorcycle - boat - walk - car - horse",Male,Champlin-Kemmer
02-25-2016,02-Mar-2016,"Durban - South Africa","boat ; motorcycle ; subway ; bus ; ferry ; tram",Female,Champlin-Kemmer
11-08-2012,16-Nov-2012,"London ; United Kingdom","caravan | bus | airplane | taxi | tram | horse | ferry",Fem,"Hodkiewicz, Luettgen and Stoltenberg"
06-28-2001,05-Jul-2001,"Dhaka - Bangladesh","bus - taxi - tram - horse - boat",M,"Botsford Inc"
12-13-1986,17-Dec-1986,"Johannesburg - South Africa","motorcycle ; taxi ; airplane ; horse ; bus ; walk ; car",Male,"Botsford Inc"
10-27-2004,31-Oct-2004,"Chennai | India","bus - horse - motorcycle - walk - car - train",Masc,"Medhurst, Streich and Schamberger"
11-02-1984,06-Nov-1984,"Yangon | Myanmar","bus ; horse ; walk ; motorcycle ; tram ; caravan ; boat",masc,"Fritsch, Hegmann and Mueller"
03-29-1984,08-Apr-1984,"Beijing - China","bicycle | caravan | bus | motorcycle | walk | car | tram",Fem,"Hodkiewicz, Luettgen and Stoltenberg"
07-20-1974,25-Jul-1974,"Chennai | India","airplane | bicycle | subway | boat | horse",F,"Rempel and Sons"
11-18-1984,26-Nov-1984,"Addis Ababa | Ethiopia","tram | ferry | motorcycle | car | bicycle | bus | caravan | horse",Female,Kerluke-Armstrong
10-23-2005,29-Oct-2005,"Johannesburg ; South Africa","bus | horse | subway | motorcycle | taxi",fem,"Leannon, Cassin and Trantow"
10-01-2012,10-Oct-2012,"Addis Ababa - Ethiopia","tram ; bicycle ; horse ; subway ; boat ; ferry ; train ; taxi",fem,"Fritsch, Hegmann and Mueller"
11-12-1974,22-Nov-1974,"Beijing ; China","ferry - bus - motorcycle - horse - boat - tram - bicycle",M,"Dare, Hoppe and Moore"
08-20-1989,25-Aug-1989,"Mumbai ; India","car | motorcycle | ferry | airplane | subway",F,"Koelpin, Hoppe and Corwin"
08-25-2004,04-Sep-2004,"Johannesburg - South Africa","boat ; taxi ; bicycle ; bus ; horse",Masc,"Rempel and Sons"
01-29-2004,07-Feb-2004,"Lahore ; Pakistan","car ; boat ; subway ; ferry ; airplane",M,White-Stroman
08-09-2017,15-Aug-2017,"Mumbai - India","ferry - motorcycle - subway - horse - bus",Fem,"Kulas LLC"
03-14-1986,21-Mar-1986,"Mumbai ; India","car - horse - bus - airplane - caravan - boat - taxi",masc,Wolff-Cartwright
01-20-1981,24-Jan-1981,"Lahore ; Pakistan","boat | bus | airplane | ferry | walk",M,"Dare, Hoppe and Moore"
03-16-1984,20-Mar-1984,"Chennai - India","ferry ; car ; taxi ; train ; horse ; caravan ; motorcycle ; bicycle",masc,Kerluke-Armstrong
04-05-1970,11-Apr-1970,"Pune | India","bicycle | tram | caravan | taxi",Masc,"Schaden LLC"
11-20-1986,30-Nov-1986,"Alexandria | Egypt","motorcycle ; boat ; subway ; caravan ; bicycle ; ferry ; bus ; airplane",Masc,Langosh-Franecki
01-02-2016,10-Jan-2016,"Johannesburg | South Africa","car | caravan | bicycle | walk | horse | bus",Fem,"Koelpin, Hoppe and Corwin"
10-06-1996,14-Oct-1996,"Beijing ; China","horse | ferry | caravan | motorcycle | train",F,"Botsford Inc"
06-27-1970,05-Jul-1970,"Abidjan ; Ivory Coast","caravan | horse | motorcycle | boat | subway",F,"Funk, Morar and Rodriguez"
04-14-1990,19-Apr-1990,"Lagos | Nigeria","car - taxi - motorcycle - airplane - train",masc,"Koelpin, Hoppe and Corwin"
03-08-1981,12-Mar-1981,"Bangkok ; Thailand","tram | airplane | motorcycle | bus",fem,Cruickshank-Franecki
02-22-1970,26-Feb-1970,"Pune ; India","taxi | walk | motorcycle | boat | ferry",fem,"Funk, Morar and Rodriguez"
12-02-2003,08-Dec-2003,"Beijing - China","tram ; walk ; bus ; subway ; car ; taxi",M,"Nienow LLC"
05-26-2019,05-Jun-2019,"London | United Kingdom","taxi - ferry - walk - car - bicycle - horse - subway - tram",Masc,"Nienow LLC"
10-16-2000,23-Oct-2000,"Delhi | India","car ; taxi ; bicycle ; subway ; train ; airplane ; walk ; caravan",M,Kerluke-Armstrong
02-10-2017,14-Feb-2017,"Beijing | China","walk - ferry - bus - subway - horse - train",Male,"Heaney - Robel and Witting"
04-27-2015,02-May-2015,"Alexandria | Egypt","boat ; car ; motorcycle ; subway",masc,"Goldner LLC"
04-23-1973,29-Apr-1973,"Bangkok - Thailand","taxi ; ferry ; tram ; bicycle",Female,"Hodkiewicz, Luettgen and Stoltenberg"
12-15-1988,20-Dec-1988,"Mexico City ; Mexico","motorcycle ; taxi ; subway ; ferry ; bus ; horse ; airplane ; caravan",M,"Kassulke, Rath and Upton"
08-06-1971,14-Aug-1971,"Chennai - India","boat ; taxi ; airplane ; ferry ; motorcycle ; train",Fem,"Heaney Inc"
03-13-1984,23-Mar-1984,"Mexico City ; Mexico","caravan ; walk ; subway ; ferry ; motorcycle ; boat ; train ; taxi",Fem,"Hayes, Bins and Considine"
01-16-2013,24-Jan-2013,"Beijing | China","walk - horse - boat - car",Female,"Schinner, Sauer and Powlowski"
05-10-1999,14-May-1999,"Mexico City - Mexico","bus - ferry - taxi - tram",F,"Kulas LLC"
12-22-1979,30-Dec-1979,"Lagos | Nigeria","car | ferry | airplane | boat | train | subway",Female,"Heaney - Robel and Witting"
06-12-2016,22-Jun-2016,"Hanoi | Vietnam","horse | taxi | bus | ferry | airplane | subway",F,"Lubowitz, Prohaska and Reilly"
08-08-2014,17-Aug-2014,"Ankara - Turkey","train ; boat ; bicycle ; bus",Female,Feest-Bode
09-02-1994,07-Sep-1994,"Dhaka | Bangladesh","tram | boat | car | walk",M,"Lubowitz, Prohaska and Reilly"
06-03-1978,10-Jun-1978,"Lahore ; Pakistan","caravan | walk | bicycle | bus | airplane | taxi | train | car",Fem,"Leannon, Cassin and Trantow"
12-16-1970,25-Dec-1970,"Alexandria | Egypt","bus | boat | car | tram | ferry",Female,"Bahringer LLC"
06-01-2017,09-Jun-2017,"Beijing ; China","caravan - motorcycle - bus - car - ferry - tram - train",M,"Altenwerth and Sons"
07-10-1976,20-Jul-1976,"Addis Ababa ; Ethiopia","taxi - bus - subway - tram - boat - bicycle",Masc,"Feil LLC"
09-05-2000,14-Sep-2000,"Casablanca | Morocco","car ; train ; walk ; airplane",Male,Quigley-Braun
02-13-1995,20-Feb-1995,"Durban ; South Africa","bicycle - bus - motorcycle - car",Female,Wolff-Cartwright
03-19-1976,28-Mar-1976,"Addis Ababa | Ethiopia","boat | horse | car | tram | taxi",Male,"Sporer Group"
05-31-1988,10-Jun-1988,"London - United Kingdom","boat ; airplane ; tram ; horse",M,"Nienow LLC"
10-03-2010,12-Oct-2010,"Rio de Janeiro - Brazil","horse ; caravan ; airplane ; bicycle",Female,Wolff-Cartwright
02-07-2002,11-Feb-2002,"Durban | South Africa","walk | tram | car | bus | caravan | train | airplane | bicycle",F,Wolff-Cartwright
10-07-1994,14-Oct-1994,"Addis Ababa - Ethiopia","caravan - taxi - tram - horse",F,Blick-Bartell
11-26-1990,05-Dec-1990,"Alexandria - Egypt","boat ; caravan ; taxi ; horse ; bus",masc,"Heaney Inc"
10-12-1991,18-Oct-1991,"Beijing ; China","subway ; ferry ; bus ; taxi ; horse ; walk",M,Langosh-Franecki
08-13-2014,21-Aug-2014,"Dhaka ; Bangladesh","bus ; car ; bicycle ; motorcycle ; boat ; airplane",F,"Cole Group"
02-09-2003,15-Feb-2003,"Beijing - China","tram | walk | airplane | caravan | bus | ferry | bicycle",M,"Heaney - Robel and Witting"
02-18-1985,22-Feb-1985,"Delhi - India","train - caravan - tram - horse - motorcycle - ferry - boat - bus",M,Blick-Bartell
02-09-1997,16-Feb-1997,"Johannesburg ; South Africa","motorcycle | airplane | bicycle | horse | train | car | subway",M,"Nienow LLC"
02-01-1993,07-Feb-1993,"Delhi ; India","horse | motorcycle | bicycle | tram | caravan | car | bus | subway",Fem,Cruickshank-Franecki
06-04-1987,13-Jun-1987,"Lahore ; Pakistan","airplane | subway | train | bicycle",masc,Blick-Bartell
01-04-2005,14-Jan-2005,"Lagos - Nigeria","boat | subway | caravan | train | ferry",masc,Rogahn-Crist
03-14-1991,22-Mar-1991,"Lagos - Nigeria","caravan ; bus ; boat ; subway ; car ; taxi ; motorcycle",masc,"Heaney Inc"
10-19-1975,28-Oct-1975,"Pune ; India","tram - subway - bus - bicycle - train - motorcycle",masc,"Dare, Hoppe and Moore"
06-10-1975,17-Jun-1975,"Yangon - Myanmar","boat | walk | car | bus | airplane | train",Masc,"Koelpin, Hoppe and Corwin"
04-09-2013,15-Apr-2013,"Dhaka - Bangladesh","car | motorcycle | ferry | subway | airplane",Fem,"Heaney Inc"
05-04-1985,10-May-1985,"Dhaka ; Bangladesh","airplane ; taxi ; subway ; bicycle",Female,"Bahringer LLC"
08-05-2005,13-Aug-2005,"Hanoi ; Vietnam","ferry ; motorcycle ; airplane ; tram ; caravan ; bicycle ; taxi ; walk",Masc,"Kulas LLC"
09-20-2006,30-Sep-2006,"Rio de Janeiro ; Brazil","tram - car - caravan - airplane - ferry - subway",F,"Leannon, Cassin and Trantow"
08-22-1998,31-Aug-1998,"Chennai | India","bicycle ; walk ; ferry ; train ; airplane ; taxi",M,"Leannon, Cassin and Trantow"
12-05-1980,09-Dec-1980,"London ; United Kingdom","bicycle ; bus ; walk ; horse ; car ; caravan ; subway",Fem,"Kassulke, Rath and Upton"
07-28-2000,04-Aug-2000,"Hanoi - Vietnam","bicycle ; horse ; airplane ; subway ; train ; tram ; taxi",masc,"Kassulke, Rath and Upton"
02-18-1979,23-Feb-1979,"Ankara ; Turkey","horse | boat | train | motorcycle | airplane | bus | bicycle | tram",F,Quigley-Braun
06-12-1986,18-Jun-1986,"Lahore | Pakistan","bicycle ; tram ; airplane ; caravan",fem,Langosh-Franecki
12-31-1986,10-Jan-1987,"Mexico City - Mexico","tram - train - ferry - motorcycle - walk",F,"Goldner LLC"
09-29-2003,07-Oct-2003,"Ankara - Turkey","taxi | caravan | ferry | car | walk | bicycle | tram | motorcycle",F,Schmeler-Renner
12-01-1982,06-Dec-1982,"Alexandria ; Egypt","train | taxi | bus | car | subway | caravan | motorcycle | tram",Fem,Quigley-Braun
03-27-2009,03-Apr-2009,"Chennai ; India","walk | train | bus | airplane | taxi | bicycle | boat | ferry",F,"Medhurst, Streich and Schamberger"
05-12-1987,17-May-1987,"Pune | India","tram | walk | airplane | bicycle",fem,"Bahringer LLC"
10-07-1971,11-Oct-1971,"London ; United Kingdom","bicycle - airplane - bus - motorcycle",Fem,"Dare, Hoppe and Moore"
03-26-2011,31-Mar-2011,"Addis Ababa | Ethiopia","subway - tram - bicycle - caravan",fem,Kerluke-Armstrong
09-08-1995,14-Sep-1995,"Bangkok - Thailand","tram - train - horse - bus",Female,"Lubowitz, Prohaska and Reilly"
06-24-2021,30-Jun-2021,"Alexandria ; Egypt","walk | subway | train | motorcycle | bicycle | bus",F,"Cole Group"
05-29-2014,02-Jun-2014,"Yangon ; Myanmar","ferry | caravan | horse | airplane",Male,"Rempel and Sons"
10-22-1988,26-Oct-1988,"Beijing - China","ferry - horse - subway - tram - walk",F,Champlin-Kemmer
07-15-1987,25-Jul-1987,"Lagos - Nigeria","train - bicycle - horse - taxi - walk - car - subway - motorcycle",masc,"Goldner LLC"
11-30-1971,07-Dec-1971,"Ankara | Turkey","bicycle - caravan - car - motorcycle - walk - train - taxi",Male,"Leannon, Cassin and Trantow"
11-01-1987,05-Nov-1987,"Mumbai | India","caravan - subway - car - taxi - bus - walk - ferry",Male,Cruickshank-Franecki
02-24-1997,05-Mar-1997,"Delhi - India","taxi - subway - horse - tram - train - bus",Male,"Funk, Morar and Rodriguez"
05-28-1988,06-Jun-1988,"Abidjan - Ivory Coast","bicycle ; tram ; airplane ; boat",masc,"Koelpin, Hoppe and Corwin"
03-20-2009,25-Mar-2009,"Durban ; South Africa","taxi | bus | tram | train",Male,Langosh-Franecki
01-19-2017,23-Jan-2017,"Abidjan - Ivory Coast","caravan | tram | bicycle | motorcycle | ferry | car | walk | boat",M,"Ledner LLC"
08-29-1989,07-Sep-1989,"Chennai ; India","tram - bus - car - airplane - caravan",masc,"Kulas LLC"
06-26-1998,06-Jul-1998,"Yangon ; Myanmar","airplane - taxi - bus - subway - horse - car - ferry - boat",Female,"Goldner LLC"
08-15-1984,19-Aug-1984,"Chennai ; India","taxi | airplane | motorcycle | bicycle | train | tram | caravan | car",Masc,White-Stroman
05-17-1970,23-May-1970,"Pune ; India","bicycle | ferry | train | tram | airplane | horse",M,Kerluke-Armstrong
01-25-1983,04-Feb-1983,"Chennai ; India","airplane | bicycle | bus | caravan",M,"Lubowitz, Prohaska and Reilly"
11-28-2014,07-Dec-2014,"Ankara - Turkey","tram ; motorcycle ; bus ; taxi ; ferry ; airplane ; train",F,"Funk, Morar and Rodriguez"
01-15-1983,21-Jan-1983,"Mumbai | India","tram | train | subway | boat | bus | car | bicycle",Female,"Lubowitz, Prohaska and Reilly"
07-27-1980,03-Aug-1980,"Rio de Janeiro ; Brazil","taxi ; airplane ; subway ; train ; bus ; car ; horse ; walk",M,Champlin-Kemmer
08-28-1980,02-Sep-1980,"Hanoi - Vietnam","subway - walk - boat - airplane - horse",F,"Lubowitz, Prohaska and Reilly"
10-09-1994,16-Oct-1994,"Hanoi - Vietnam","ferry ; tram ; horse ; subway ; train ; car",F,"Koelpin, Hoppe and Corwin"
04-23-2020,27-Apr-2020,"Bangkok - Thailand","horse | car | subway | ferry | walk | motorcycle | airplane",Masc,"Hintz Group"
10-26-1984,01-Nov-1984,"Johannesburg - South Africa","caravan ; car ; subway ; train",Masc,Champlin-Kemmer
06-08-1984,17-Jun-1984,"Abidjan | Ivory Coast","airplane - subway - tram - boat - walk - bus - ferry - motorcycle",Female,Schmeler-Renner
04-25-2011,30-Apr-2011,"Pune | India","tram | walk | horse | boat | airplane | bus",fem,"Cole Group"
06-07-2016,16-Jun-2016,"Casablanca | Morocco","train | motorcycle | tram | taxi | car",Fem,"Kulas LLC"
05-01-2019,08-May-2019,"Lagos ; Nigeria","tram - horse - motorcycle - boat - car - taxi",masc,"Goldner LLC"
09-28-1999,04-Oct-1999,"Rio de Janeiro | Brazil","tram | car | walk | subway | taxi | motorcycle",Fem,Cruickshank-Franecki
08-28-2001,06-Sep-2001,"Mumbai ; India","ferry ; boat ; horse ; airplane ; car ; bus",M,"Schinner, Sauer and Powlowski"
09-04-1989,10-Sep-1989,"Hanoi - Vietnam","caravan - horse - car - boat - taxi - motorcycle - bicycle - bus",Male,"Schinner, Sauer and Powlowski"
09-02-1977,09-Sep-1977,"Dhaka ; Bangladesh","taxi - airplane - bicycle - walk - subway - motorcycle - tram",masc,"Nienow LLC"
05-04-1992,10-May-1992,"Mexico City | Mexico","train | walk | ferry | airplane",fem,"Ledner LLC"
04-26-2013,04-May-2013,"Durban | South Africa","ferry ; boat ; taxi ; airplane ; bicycle ; tram",M,"Nienow LLC"
01-13-2009,21-Jan-2009,"Mumbai | India","walk | motorcycle | caravan | taxi | boat | airplane | train | tram",Fem,"Heaney - Robel and Witting"
08-07-1983,14-Aug-1983,"Beijing - China","tram | taxi | bicycle | ferry",F,Rogahn-Crist
12-23-2013,31-Dec-2013,"Johannesburg ; South Africa","walk - airplane - ferry - tram - bicycle",M,Champlin-Kemmer
06-07-1978,12-Jun-1978,"Alexandria ; Egypt","taxi | caravan | ferry | walk | bicycle | horse | tram | subway",masc,"Kassulke, Rath and Upton"
08-22-1982,29-Aug-1982,"Mexico City - Mexico","boat - airplane - tram - train - taxi - walk - ferry",Female,Champlin-Kemmer
05-16-1972,25-May-1972,"Ankara - Turkey","ferry - train - subway - horse - car - walk",M,"Feil LLC"
11-10-1990,19-Nov-1990,"Durban ; South Africa","boat ; motorcycle ; car ; airplane ; ferry ; walk ; caravan",F,"Cremin Inc"
07-27-1993,03-Aug-1993,"Addis Ababa | Ethiopia","airplane ; horse ; train ; ferry ; taxi",M,Feest-Bode
09-12-1979,20-Sep-1979,"Pune - India","boat ; subway ; car ; bicycle ; bus",M,Grant-Hand
09-29-1989,09-Oct-1989,"Delhi - India","boat - train - airplane - taxi - ferry - bus - caravan",Masc,"Ledner LLC"
07-29-2002,02-Aug-2002,"Yangon ; Myanmar","subway - tram - taxi - airplane - bus - ferry - motorcycle",M,"Nienow LLC"
10-28-2001,03-Nov-2001,"Abidjan | Ivory Coast","airplane - bus - bicycle - taxi - motorcycle - horse",Female,"Goldner LLC"
10-02-1978,10-Oct-1978,"Addis Ababa ; Ethiopia","airplane ; bus ; train ; caravan ; tram ; subway",masc,"Bahringer LLC"
02-23-2013,28-Feb-2013,"Mumbai | India","taxi - motorcycle - tram - walk - bus - airplane - train - bicycle",Female,"Leannon, Cassin and Trantow"
10-09-2001,19-Oct-2001,"Hanoi ; Vietnam","taxi - airplane - motorcycle - boat - walk - car - bicycle",M,"Hayes, Bins and Considine"
07-23-2005,27-Jul-2005,"Delhi ; India","taxi | boat | car | bus | ferry | subway",F,"Kassulke, Rath and Upton"
02-16-1985,25-Feb-1985,"Mexico City | Mexico","taxi - ferry - train - car - bicycle - caravan",Female,"Hayes, Bins and Considine"
01-16-1989,22-Jan-1989,"Lahore | Pakistan","car | airplane | train | walk | tram",Fem,Wolff-Cartwright
02-10-2001,14-Feb-2001,"Durban ; South Africa","boat ; taxi ; walk ; car ; train ; bicycle ; horse",Fem,"Fritsch, Hegmann and Mueller"
07-24-1999,02-Aug-1999,"Rio de Janeiro ; Brazil","motorcycle ; subway ; caravan ; walk ; ferry ; bus",Fem,"Heaney Inc"
02-05-2016,11-Feb-2016,"Casablanca ; Morocco","taxi ; bicycle ; ferry ; boat ; walk ; bus",F,Rogahn-Crist
08-28-2017,02-Sep-2017,"London - United Kingdom","airplane ; bus ; walk ; subway ; motorcycle ; ferry ; caravan ; bicycle",Masc,"Botsford Inc"
